ISO code,Country,Variable code,Variable name,1990,2019
MNE,Montenegro,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),6702.1552734375,12907.7900390625
MNG,Mongolia,pop,Population (in millions),2.184145,3.225167
MNG,Mongolia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),8200.2421875,41388.47265625
MOZ,Mozambique,pop,Population (in millions),12.987292,30.366036
MOZ,Mozambique,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),8400.2724609375,35524.1484375
MRT,Mauritania,pop,Population (in millions),2.034346,4.525696
MRT,Mauritania,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),6548.89111328125,19384.744140625
MSR,Montserrat,pop,Population (in millions),0.010615,0.004989
MSR,Montserrat,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),338.844757080078,99.1915817260742
MUS,Mauritius,pop,Population (in millions),1.055868,1.269668
MUS,Mauritius,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),11257.8095703125,29455.955078125
MWI,Malawi,pop,Population (in millions),9.4045,18.628747
MWI,Malawi,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),9674.6865234375,20362.392578125
MYS,Malaysia,pop,Population (in millions),18.029824,31.949777
MYS,Malaysia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),158185.484375,892731
NAM,Namibia,pop,Population (in millions),1.432905,2.49453
NAM,Namibia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),7291.52978515625,25195.970703125
NER,Niger,pop,Population (in millions),8.026591,23.310715
NER,Niger,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),9651.666015625,27399.2734375
NGA,Nigeria,pop,Population (in millions),95.21245,200.963599
NGA,Nigeria,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),79642.5625,983498.25
NIC,Nicaragua,pop,Population (in millions),4.173434,6.545502
NIC,Nicaragua,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),13909.0078125,33386.31640625
NLD,Netherlands,pop,Population (in millions),14.965448,17.09713
NLD,Netherlands,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),427072.25,958314.625
NOR,Norway,pop,Population (in millions),4.247285,5.378857
NOR,Norway,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),120817.109375,336415.40625
NPL,Nepal,pop,Population (in millions),18.905478,28.60871
NPL,Nepal,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),19883.142578125,88801.109375
NZL,New Zealand,pop,Population (in millions),3.398172,4.783063
NZL,New Zealand,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),76859.65625,200579.234375
OMN,Oman,pop,Population (in millions),1.812161,4.974986
OMN,Oman,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),21169.833984375,146794.796875
PAK,Pakistan,pop,Population (in millions),107.647921,216.565318
PAK,Pakistan,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),288524.75,1036799.875
PAN,Panama,pop,Population (in millions),2.470947,4.246439
PAN,Panama,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),16359.1083984375,125636.6015625
PER,Peru,pop,Population (in millions),22.071433,32.510453
PER,Peru,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),81596.671875,403546.34375
PHL,Philippines,pop,Population (in millions),61.89516,108.116615
PHL,Philippines,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),233133.34375,887058.5
POL,Poland,pop,Population (in millions),37.960193,37.887768
POL,Poland,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),335254.875,1259693.75
PRT,Portugal,pop,Population (in millions),9.895364,10.226187
PRT,Portugal,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),157535.140625,350395.375
PRY,Paraguay,pop,Population (in millions),4.223415,7.044636
PRY,Paraguay,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),20688.53125,85487.359375
PSE,State of Palestine,pop,Population (in millions),2.101446,4.98142
PSE,State of Palestine,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),5372.87744140625,30396.775390625
QAT,Qatar,pop,Population (in millions),0.476278,2.832067
QAT,Qatar,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),13335.9072265625,292963.53125
ROU,Romania,pop,Population (in millions),23.48916,19.364557
ROU,Romania,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),182151.125,558259.5625
RUS,Russian Federation,pop,Population (in millions),147.531561,145.872256
RUS,Russian Federation,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),2403880.5,4197222.5
RWA,Rwanda,pop,Population (in millions),7.288882,12.62695
RWA,Rwanda,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),8103.51416015625,26962.484375
SAU,Saudi Arabia,pop,Population (in millions),16.233785,34.268528
SAU,Saudi Arabia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),295543.9375,1754526.375
SDN,Sudan,pop,Population (in millions),20.14759,42.813238
